,time_micros,accel_x,accel_y,accel_z,velocity_x,velocity_y,velocity_z,distance_x,distance_y,distance_z,distance_total
10,17419844,0.2698829174041748,-0.1041233390569686,10.1879301071167,0.001965352007016539,-0.0012117760744467373,0.11949765047264099,1.1939926014816817e-05,-7.921859408664233e-06,0.0007763706308309804,0.0007765028487434057
11,17421028,0.1382327079772949,-0.1340438425540924,10.109539031982422,0.002129019533261656,-0.0013704839840307827,0.13146734468650817,1.4460685142198618e-05,-9.54451244575668e-06,0.0009320279669398061,0.0009321890045964698
12,17422201,0.1687516272068023,-0.0538569018244743,10.070043563842772,0.002326965191975235,-0.001433658129870891,0.14327950578689574,1.719021531238557e-05,-1.1226193432095235e-05,0.0011000948272278349,0.0011002863989956892
13,17423390,0.1549881845712661,-0.0849742218852043,10.058673858642578,0.0025112461434304706,-0.001534692479692399,0.15523926900482177,2.01760869769244e-05,-1.3050942790449497e-05,0.001284674318074568,0.0012848990252598746
14,17424567,0.1639643460512161,-0.0867694541811943,10.064658164978027,0.002704232178732752,-0.0016368201272636647,0.1670853716650009,2.335896825129285e-05,-1.497748008023883e-05,0.001481333800524274,0.0014815936672660994
15,17425756,0.1591770648956298,-0.1214772313833236,10.099365234375,0.002893493708893656,-0.0017812565553784363,0.17909351692867276,2.6799332271167407e-05,-1.709539412458379e-05,0.001694275992152466,0.0016945741631143436
16,17426892,0.1920896172523498,-0.0748012512922287,10.12808895111084,0.0031117075140923256,-0.0018662307768464081,0.19059902597713468,3.033423200717629e-05,-1.921543228708131e-05,0.0019107964856624909,0.001911133854048316
17,17428089,0.1699484437704086,-0.0909583196043968,10.138860702514648,0.003315135801285505,-0.0019751078854128713,0.2027352422380447,3.430244956131504e-05,-2.1579636425920517e-05,0.0021534705706214305,0.002153851860571374
18,17429277,0.1304533779621124,-0.0969424247741699,10.056879043579102,0.003470114414304494,-0.002090275486044585,0.21468281454181667,3.842494548550878e-05,-2.4062883703341485e-05,0.002408513754297109,0.002408940431693162
19,17430464,0.2022625803947448,-0.0478728003799915,10.116719245910645,0.003710200097233056,-0.002147100500095635,0.2266913602867126,4.2828953000924415e-05,-2.6611491996955004e-05,0.0026775963989574365,0.0026780711279634248
20,17431623,0.0951471924781799,-0.1292565613985061,10.123302459716797,0.0038204756933152666,-0.0022969088547565037,0.23842426783752438,4.725688432947681e-05,-2.927360935961779e-05,0.0029539301253811274,0.0029544531377152746
21,17432806,0.1902943849563598,-0.097540833055973,10.064059257507324,0.00404559395071864,-0.0024122996602617196,0.25033004993915553,5.204282197317696e-05,-3.212735985770741e-05,0.0032500705744591485,0.003250645991420102
22,17433954,0.1525945514440536,-0.1101074442267417,10.125696182250977,0.004220772495776414,-0.002538703006234019,0.26195434915637966,5.688826879832828e-05,-3.504179090886406e-05,0.003550794167290672,0.0035514227319065283
23,17435141,0.1543897837400436,-0.0592425912618637,10.120309829711914,0.004404033169075846,-0.0026090239620618514,0.2739671569242477,6.211585617002131e-05,-3.813870235183148e-05,0.003875993182559754,0.0038766784869852834
24,17436338,0.1741373091936111,-0.1262645125389099,10.074831008911133,0.004612475528180599,-0.0027601625835709264,0.28602672964191433,6.763698937725349e-05,-4.144261696436588e-05,0.004218367177941125,0.004219112928183346
25,17437535,0.1908927857875824,-0.0951471924781799,10.10175895690918,0.004840974192768335,-0.002874053772967308,0.29811853511333464,7.34316354859972e-05,-4.488285933060775e-05,0.004575215064471787,0.004576024427636004
