x y z
0.033903 -0.027184 -0.033903
0.026878 -0.028100 -0.003665
0.030238 -0.032987 -0.012217
0.028100 -0.023824 -0.026573
0.032376 -0.040623 -0.013744
0.037874 -0.044899 -0.012828
0.031460 -0.042455 -0.013134
0.044899 -0.037568 -0.022602
0.021075 -0.024435 -0.021686
0.028711 -0.032376 -0.009774
0.029016 -0.024740 -0.025045
0.032376 -0.030849 -0.025656
0.036652 -0.031460 -0.024129
0.038790 -0.032987 -0.014661
0.042150 -0.035430 -0.029322
0.043982 -0.037568 -0.026878
0.022602 -0.035736 -0.002443
0.024435 -0.032987 -0.013744
0.033903 -0.026878 -0.018021
0.034514 -0.024740 -0.018631
0.031154 -0.025656 -0.016493
0.018021 -0.036652 -0.020464
0.011912 -0.033903 -0.023518
0.028100 -0.047342 -0.028405
0.038790 -0.027184 -0.014050
0.027794 -0.034819 -0.023824
0.022602 -0.034819 -0.025962
0.051618 -0.046731 -0.014661
0.045509 -0.038790 -0.024435
0.043677 -0.040623 -0.030238
0.036041 -0.032987 -0.000916
0.023518 -0.037568 -0.018021
0.019242 -0.028711 -0.018937
0.050702 -0.040012 -0.013134
0.046120 -0.044899 -0.013134
0.028100 -0.046426 -0.015577
0.049480 -0.032987 -0.020464
0.048869 -0.027794 -0.021991
0.047342 -0.029016 -0.014966
0.012828 -0.030238 -0.019853
0.028100 -0.032070 -0.022297
0.037874 -0.036346 -0.018021
0.034819 -0.038179 -0.011606
0.024740 -0.036346 -0.012217
0.054672 -0.040928 -0.022297
0.054062 -0.044899 -0.024740
0.052229 -0.037568 -0.022907
0.019548 -0.035430 -0.014050
0.020159 -0.031154 -0.019548
0.035430 -0.032376 -0.021991
0.037874 -0.038790 -0.017410
0.028711 -0.044899 -0.021991
0.023824 -0.042150 -0.021991
0.063225 -0.032070 -0.010690
0.045509 -0.043371 -0.026878
0.045815 -0.045815 -0.026573
0.018631 -0.040928 -0.015272
0.022907 -0.029016 -0.023213
0.029627 -0.032987 -0.021686
0.040317 -0.039095 -0.012828
0.026878 -0.044288 -0.020159
0.028711 -0.043066 -0.014355
0.052534 -0.040928 -0.023213
0.047342 -0.038179 -0.031460
0.066890 -0.048258 -0.026573
0.024435 -0.043066 -0.013134
0.037263 -0.042455 -0.020159
0.025351 -0.025351 -0.012217
0.031154 -0.035736 -0.011301
0.031154 -0.035430 -0.014661
0.043982 -0.045204 -0.022602
0.036957 -0.040012 -0.025962
0.035736 -0.034514 -0.025962
0.036652 -0.042455 -0.016188
0.028100 -0.041539 -0.026878
0.026573 -0.041539 -0.029016
0.050702 -0.044899 -0.015882
0.036957 -0.044899 -0.022602
0.036957 -0.050091 -0.022602
0.047953 -0.035736 -0.015882
0.051618 -0.037568 -0.025045
0.043677 -0.041539 -0.020159
0.034514 -0.050702 -0.020769
0.036346 -0.051618 -0.029016
0.030543 -0.040623 -0.026878
0.039095 -0.037263 -0.014355
0.026573 -0.032376 -0.025656
0.006720 -0.040012 -0.025045
0.045509 -0.046731 -0.013439
0.036957 -0.044288 -0.015882
0.052229 -0.040012 -0.020769
0.040623 -0.038485 -0.026878
0.049175 -0.036346 -0.025962
0.029627 -0.048258 -0.014661
0.021075 -0.035736 -0.021075
0.022297 -0.046120 -0.027489
0.055589 -0.032070 -0.009468
0.049786 -0.033903 -0.013439
0.034514 -0.039706 -0.015577
0.047342 -0.042455 -0.021075
0.052534 -0.039706 -0.025351
0.061392 -0.045204 -0.017715
0.018937 -0.044288 -0.019242
0.020464 -0.035736 -0.022602
0.030543 -0.034208 -0.021075
0.033598 -0.039706 -0.017104
0.027184 -0.042455 -0.022602
0.037874 -0.031460 -0.018326
0.038790 -0.058643 -0.018021
0.031460 -0.058032 -0.023518
0.009774 -0.051618 -0.025962
0.048258 -0.030543 -0.011301
0.039401 -0.042150 -0.019853
0.039706 -0.077580 -0.016493
0.031460 -0.037263 -0.027184
0.046120 -0.049480 -0.025351
0.028100 -0.037263 -0.014661
0.033903 -0.049175 -0.025962
0.035125 -0.043982 -0.026267
0.047342 -0.040012 -0.006414
0.046120 -0.033903 -0.014966
0.053756 -0.038790 -0.021075
0.024740 -0.042455 -0.014050
0.047953 -0.050091 -0.014661
0.050702 -0.037568 -0.012523
0.027794 -0.050396 -0.022297
0.012828 -0.045815 -0.018937
0.027184 -0.049175 -0.010996
0.048869 -0.038179 -0.027794
0.045509 -0.043982 -0.037568
0.041539 -0.036346 -0.025962
0.037874 -0.056200 -0.016188
0.040012 -0.060170 -0.020769
0.073609 -0.060170 -0.028405
0.036652 -0.021991 -0.007941
0.031460 -0.021380 -0.012828
0.043982 -0.027794 -0.013134
0.034514 -0.072998 -0.029932
0.032987 -0.065668 -0.027489
0.046426 -0.021075 -0.014661
0.041539 -0.038179 -0.030543
0.033598 -0.030543 -0.031460
0.044593 -0.057727 -0.006109
0.042150 -0.054367 -0.019548
0.047342 -0.067806 -0.026573
0.037874 -0.023824 -0.007025
0.048258 -0.027794 -0.016188
0.054978 -0.032987 -0.014661
0.024435 -0.056810 -0.017715
0.017104 -0.049480 -0.021991
0.030543 -0.052534 -0.017104
0.045509 -0.027184 -0.020159
0.023824 -0.026267 -0.023213
0.031154 -0.037263 -0.021991
0.042150 -0.048564 -0.020159
0.040623 -0.048564 -0.028100
0.044593 -0.042761 -0.018326
0.032070 -0.050396 -0.021991
0.034514 -0.040012 -0.023518
0.034819 -0.048564 -0.012217
0.028100 -0.047342 -0.024129
0.018021 -0.039706 -0.024435
0.045509 -0.036346 -0.015882
0.043066 -0.032070 -0.021991
0.035736 -0.039095 -0.030849
0.047342 -0.046731 -0.009468
0.047953 -0.054367 -0.022602
0.048258 -0.051007 -0.031765
0.022297 -0.030849 -0.010385
0.037263 -0.031154 -0.011301
0.036346 -0.026267 -0.012217
0.028100 -0.044288 -0.022297
0.019548 -0.043371 -0.025962
0.023518 -0.042455 -0.020464
0.046120 -0.041539 -0.019853
0.036957 -0.042455 -0.030849
0.040317 -0.049480 -0.029322
0.039401 -0.042455 -0.014966
0.027794 -0.051924 -0.025351
0.043677 -0.040928 -0.026267
0.037263 -0.036652 -0.007330
0.032987 -0.042455 -0.011606
0.036957 -0.039706 -0.011301
0.042761 -0.037568 -0.021991
0.041539 -0.032376 -0.020769
0.023824 -0.057727 -0.018937
0.020464 -0.063835 -0.023824
0.023824 -0.057727 -0.028711
0.039401 -0.032376 -0.014661
0.030543 -0.033292 -0.019548
0.018631 -0.038179 -0.025962
0.059254 -0.040928 -0.011912
0.041539 -0.033292 -0.020769
0.046426 -0.043982 -0.025962
0.031460 -0.043371 -0.008552
0.033598 -0.049175 -0.016188
0.027184 -0.049480 -0.016188
0.036346 -0.037568 -0.025656
0.028711 -0.040012 -0.027489
0.038790 -0.045204 -0.026878
0.034819 -0.034819 -0.015272
0.025351 -0.032376 -0.029016
0.025656 -0.036346 -0.025045
0.049175 -0.047647 -0.009468
0.051618 -0.046731 -0.017715
